StarID,HIP,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,PMRA,PMDec,RV,Mag,AbsMag,Spectrum,ColorIndex,X,Y,Z,VX,VY,VZ
52434,52586.0,91828.0,,,,,10.75290121,84.74446252,194.931773879142,19.22,11.97,,8.08,1.63058682555908,K0,1.085,-16.9121,5.72656,194.11229,4.843e-06,-2.0815e-05,1.036e-06
52688,52842.0,,,,,,10.80431334,86.58770604,127.226463104326,-15.43,-2.29,,11.32,5.79711273019704,K5,1.552,-7.2046,2.33192,127.0009,1.589e-06,9.488e-06,-8.4e-08
52754,52908.0,90162.0,,,,,10.82054491,87.85894296,200.400801603206,-24.68,-6.27,,8.78,2.27050272811695,F8,0.504,-7.13283,2.27525,200.26089,1.487e-06,2.4692e-05,-2.27e-07
53197,53352.0,93212.0,,,,,10.91159182,85.36213412,62.7352572145546,-97.69,-23.23,,8.03,4.04244158530047,G0,0.541,-4.86808,1.42593,62.52984,1.593e-06,3.0491e-05,-5.71e-07
54375,54534.0,95603.0,,,,,11.15962811,85.54421382,177.935943060498,7.16,7.38,,8.38,2.12868157784531,A3,0.184,-13.49058,3.01688,177.39814,4.845e-06,-7.412e-06,4.94e-07
54740,54901.0,96571.0,,,,,11.24184256,85.64011167,196.078431372549,-33.7,8.63,,7.31,0.847850880489682,A2,0.236,-14.61341,2.93924,195.51102,1.4335e-05,2.9791e-05,6.23e-07
54862,55024.0,,,,,,11.26509636,84.95846438,403.225806451613,7.96,1.59,,9.79,1.76225840413108,G5,1.234,-34.78081,6.77554,401.66582,6.3e-08,-1.5864e-05,2.73e-07
55319,55483.0,96870.0,,,,,11.36327495,87.63845987,205.338809034908,9.36,9.62,,7.5,0.937644806073171,B8,-0.009,-8.3437,1.40387,205.16441,7.889e-06,-1.0775e-05,3.94e-07
55962,56124.0,,,,,,11.50527614,88.74971621,153.374233128834,-86.68,16.48,,9.46,3.5312379786596,G0,0.576,-3.31857,0.43223,153.33771,2.0471e-05,6.2325e-05,2.67e-07
56172,56340.0,99884.0,,,,,11.54945657,84.70624046,183.150183150183,10.77,12.73,,7.22,0.905963213523687,K0,0.965,-16.78041,1.98851,182.369,1.005e-05,-1.082e-05,1.042e-06
56498,56666.0,100432.0,,,,,11.61912795,85.61720871,64.8929266709929,12.54,46.95,,7.32,3.2590131935921,F0,0.39,-4.93445,0.49366,64.70316,1.426e-05,-5.391e-06,1.128e-06
57351,57523.0,102120.0,,,,,11.7901287,85.53250815,253.164556962025,-2.51,5.59,,8.03,1.0129854781323,K0,0.92,-19.6901,1.08294,252.39536,6.998e-06,2.7e-06,5.34e-07
57820,57992.0,103126.0,,,,,11.89494182,86.2297745,30.8737264587836,-222.72,241.25,,8.28,5.83205474005088,G5,0.72,-2.02934,0.05582,30.8069,3.6932e-05,3.233e-05,2.374e-06
58336,58508.0,,,,,,11.99915404,86.99519709,10000000.0,-36.62,-3.27,,9.45,-5.55,F2,0.354,-524196.68217,116.09667,9986251.4401,0.0,0.0,0.0
58357,58531.0,104147.0,,,,,12.00300829,86.99444426,263.852242744063,-38.4,-4.73,,8.07,0.963196049840363,A2,0.135,-13.8345,-0.01089,263.4893,-6.08e-06,4.9111e-05,-3.17e-07
58700,58874.0,104904.0,4606.0,,,,12.07459173,85.58691106,76.27765064836,-55.16,90.97,8.0,6.27,1.85801345845042,F6V,0.56,-5.8682,-0.1146,76.0515,3.2504e-05,2.1035e-05,1.0745e-05
59174,59355.0,105942.0,,,,,12.17703932,85.07880505,313.479623824451,-12.12,-6.61,,8.69,1.2089534152859,A3,0.225,-26.86312,-1.24596,312.32402,-1.085e-05,1.7934e-05,-8.61e-07
